Wind_[m/s],Pitch_[deg],Rotor_Speed_[rpm],Torque_[MNm],Flapwise_Moment_[MNm],CP_[-],CT_[-],CQ_[-],CFlap_[-],TSR_[-],Aero_Power_[MW],Aero_CP_[-],Tip_Speed_[m/s],R_ref_[m],Power_[MW],Thrust_[MN]
9.385612468,0.0,6.668049714,15.31139216,50.97782356,0.4459852251385951,0.7788463716379025,0.051759863077003004,0.17232953998281092,8.957323963138498,10.691601704311823,0.46363055000000003,84.06997146834786,120.39638663781716,10.28468981,1.913638541
9.780037514,0.0,6.948270725,16.62533805,55.3524814,0.44522175951953125,0.7788463716779318,0.05175986307698577,0.17232953998402464,8.957323963064661,12.096966523812087,0.46363055,87.60296438382355,120.39638663781716,11.61664761,2.077857279
10.20964776,0.0,7.253489215,18.11802945,60.3222554,0.4444807294069298,0.7788463717231968,0.05175986307918002,0.17232953996171627,8.957323961388411,13.762178722939847,0.46363055,91.45112251798352,120.39638663781716,13.19374497,2.264415873
10.65843263,0.0,7.499240933,19.94703495,65.14869599,0.4441486577997244,0.7723687983371457,0.05228719388904783,0.17077437861749786,8.870866289773328,15.664802285943814,0.46383339399999995,94.54953071928708,120.39638663781716,15.0,2.447339849
10.67345004,0.511974392,7.499240933,19.9470383,63.06741054,0.4422766376957529,0.7472141700703074,0.05214017130545406,0.16485382641226487,8.858385092444493,15.664804928592536,0.461878402,94.54953071928708,120.39638663781716,15.00000265,2.374311052
11.17037214,3.723733263,7.499240933,19.94699774,50.90543244,0.3858376959473521,0.5622777079322766,0.04760427223349447,0.12148775949264835,8.464313411789975,15.664773068205456,0.4029380779999999,94.54953071928708,120.39638663781716,14.99997215,1.956901748
11.6992653,5.396486368,7.499240933,19.94704659,45.21424327,0.3358403518221887,0.46340627453476724,0.04339753864214164,0.09836979427664821,8.08166395878612,15.664811407838194,0.350724844,94.54953071928708,120.39638663781716,15.00000888,1.769139016
12.25890683,6.766694447,7.499240933,19.94703557,40.89463241,0.29191282203412494,0.3890100788868761,0.03952560705484896,0.08103385415932013,7.712721210010785,15.664802809953995,0.304850441,94.54953071928708,120.39638663781716,15.00000059,1.630599159
12.84800295,7.989590009,7.499240933,19.94703492,37.29572857,0.25357212333717905,0.3297499339951219,0.03598411019085968,0.06728085712456724,7.3590838270539995,15.664802243262384,0.264810476,94.54953071928708,120.39638663781716,15.0000001,1.518234459
13.46519181,9.124292675,7.499240933,19.9469634,34.16497221,0.22027702398183402,0.28139572479360575,0.03276086631965271,0.05611250519397151,7.021773774441842,15.664746073343077,0.23003973300000002,94.54953071928708,120.39638663781716,14.99994632,1.423067352
