Wind_[m/s],Pitch_[deg],Rotor_Speed_[rpm],Torque_[MNm],Flapwise_Moment_[MNm],CP_[-],CT_[-],CQ_[-],CFlap_[-],TSR_[-],Aero_Power_[MW],Aero_Torque_[MNm],Aero_Thrust_[MN],Aero_CP_[-],Aero_CT_[-],Aero_CQ_[-],Tip_Speed_[m/s],R_ref_[m],Power_[MW],Thrust_[MN],RtAeroCp_[-],GenSpeed_[rpm],RtAeroCt_[-],GenTorque_[MNm],RtTSR_[-],TTDspFA_[m],TTDspSS_[m]
4.5,0.0,5.0926,0.5884,2.0188,0.42656413820164985,1.3507384497728583,0.060563500029988525,0.2077933274312387,7.459033740189134,0.3138,0.5884,0.1141,0.4517577676938161,0.7391810893001589,0.060563500029988525,33.5656518308511,62.9400236458565,0.2963,0.2085,0.4636,493.9808,0.7518,0.0061,7.5304,0.051,-0.0067
4.75,0.0,5.3753,0.6556,2.2112,0.42646907899021125,1.289046858087304,0.060564070274475475,0.20426978674637,7.458725386324178,0.3688,0.6552,0.1271,0.451440287978157,0.7390070169729198,0.060527118431721066,35.42894558503985,62.9400236458565,0.3484,0.2217,0.4641,521.4086,0.7524,0.0068,7.5342,0.0584,-0.0075
5.0,0.0,5.6578,0.7263,2.396,0.42640966526196356,1.2363046657115262,0.060553515904388754,0.19976073813426332,7.458184225291182,0.4303,0.7263,0.1409,0.45159753621024595,0.739368961794372,0.060553515904388754,37.29092112645591,62.9400236458565,0.4063,0.2356,0.4632,548.8114,0.7516,0.0075,7.5284,0.0662,-0.0083
5.25,0.0,5.9405,0.8007,2.6026,0.4262799884779314,1.1913310843452527,0.0605500562252676,0.19681225968762514,7.457945691551363,0.4982,0.8009,0.1554,0.4516645900886972,0.7396438294336886,0.060565180505578645,39.15421488064466,62.9400236458565,0.4702,0.2503,0.4637,576.2309,0.7522,0.0083,7.5305,0.0744,-0.0091
5.5,0.0,6.2231,0.8786,2.8213,0.42618470597128155,1.150974681417724,0.06053815054179961,0.19439595279260102,7.457609005172193,0.5725,0.8786,0.1705,0.4514167329668061,0.7394166660954105,0.06053815054179961,41.01684952844706,62.9400236458565,0.5405,0.2654,0.4636,603.6364,0.7521,0.0091,7.5306,0.0829,-0.01
5.75,0.0,6.5056,0.96,3.0408,0.4261809018289688,1.1165511790873752,0.06051999350173819,0.1916970794167557,7.4571869686718495,0.654,0.9599,0.1863,0.4512990767424637,0.7392092560908956,0.060513689335748425,42.87882506986313,62.9400236458565,0.6176,0.2814,0.4637,631.0398,0.7524,0.0099,7.5318,0.0918,-0.0103
6.0,0.0,6.788,1.0454,3.2998,0.4260535173181925,1.0873930397811717,0.06052618822040173,0.1910506178397567,7.456690250815474,0.7432,1.0455,0.2029,0.45137986325143364,0.7393835381085782,0.06053197798395831,44.74014150489285,62.9400236458565,0.7015,0.2984,0.4637,658.4394,0.7525,0.0108,7.531,0.1016,-0.012
6.25,0.0,7.0702,1.1341,3.511,0.4258966722903169,1.0605772860623428,0.06051383054906659,0.18734155635109143,7.45602235634398,0.8399,1.1344,0.2201,0.45131291326853035,0.7391800527622598,0.0605298380873478,46.60013972714987,62.9400236458565,0.7926,0.3158,0.4635,685.8102,0.7523,0.0117,7.5292,0.1111,-0.0129
6.5,0.0,7.3521,1.2263,3.805,0.42576902928622506,1.0367640667691669,0.060496931072015266,0.1877116714743685,7.455101635422752,0.9443,1.2265,0.238,0.4510868331145319,0.7389932551394481,0.06050679765133061,48.45816063024789,62.9400236458565,0.8913,0.3339,0.4632,713.1563,0.752,0.0126,7.5272,0.1213,-0.0139
6.75,0.0,7.634,1.3222,4.0362,0.42557772096227403,1.0155192139299487,0.06048573135406816,0.1846411351469444,7.454249116051245,1.0578,1.3232,0.2567,0.45121390521589,0.7391091075016099,0.060531477634021315,50.316181533345905,62.9400236458565,0.9977,0.3527,0.463,740.4973,0.7518,0.0136,7.5245,0.1317,-0.015
7.0,0.0,7.9156,1.4215,4.3122,0.42538189487183625,0.9964844352626167,0.060466400049797135,0.18342821687987,7.453175016754984,1.1792,1.4225,0.276,0.45100731022556134,0.7389298875133858,0.06050893708817195,52.17222511728489,62.9400236458565,1.1122,0.3722,0.463,767.8143,0.7519,0.0147,7.5239,0.1427,-0.0161
